Date,Open,High,Low,Close,Adj Close,Volume
1980-12-11,4.75,4.875,4.71875,4.875,4.01547384262085,297600
1980-12-12,4.96875,5.0625,4.96875,4.96875,4.092696189880371,312800
1980-12-15,4.96875,4.96875,4.828125,4.921875,4.054086208343506,106400
1980-12-16,4.890625,4.890625,4.75,4.828125,3.976864814758301,365600
1980-12-17,4.890625,5.1875,4.890625,5.1875,4.272877216339111,320800
1980-12-18,5.21875,5.375,5.21875,5.25,4.3243608474731445,528800
1980-12-19,5.25,5.328125,5.234375,5.3125,4.37584114074707,187200
1980-12-22,5.328125,5.46875,5.328125,5.46875,4.504539966583252,216800
1980-12-23,5.4375,5.4375,5.3125,5.3125,4.37584114074707,100000
1980-12-24,5.3125,5.328125,5.21875,5.28125,4.350100994110107,139200
1980-12-26,5.28125,5.3125,5.25,5.3125,4.37584114074707,33600
1980-12-29,5.3125,5.421875,5.3125,5.328125,4.38870906829834,147200
1980-12-30,5.328125,5.375,5.28125,5.34375,4.401580333709717,77600
1980-12-31,5.34375,5.53125,5.34375,5.53125,4.556023120880127,131200
1981-01-02,5.53125,5.671875,5.46875,5.671875,4.6718525886535645,243200
1981-01-05,5.671875,5.90625,5.671875,5.78125,4.7619428634643555,247200
1981-01-06,5.78125,5.90625,5.5,5.5,4.530280113220215,361600
1981-01-07,5.25,5.25,5.0625,5.1875,4.272877216339111,711200
1981-01-08,5.1875,5.28125,5.15625,5.171875,4.260010242462158,423200
1981-01-09,5.171875,5.5,5.15625,5.28125,4.350100994110107,239200
1981-01-12,5.296875,5.40625,5.296875,5.3125,4.37584114074707,174400
1981-01-13,5.3125,5.34375,5.265625,5.265625,4.337231159210205,62400
1981-01-14,5.265625,5.28125,5.1875,5.1875,4.272877216339111,176800
1981-01-15,5.1875,5.21875,5.171875,5.21875,4.298618793487549,68000
1981-01-16,5.234375,5.578125,5.234375,5.578125,4.594630241394043,273600
1981-01-19,5.578125,5.71875,5.578125,5.625,4.633242130279541,220800
1981-01-20,5.625,5.65625,5.625,5.625,4.633242130279541,260800
1981-01-21,5.625,5.625,5.625,5.625,4.633242130279541,2020800
1981-01-22,5.625,5.625,5.421875,5.53125,4.556023120880127,719200
1981-01-23,5.53125,5.5625,5.5,5.5625,4.581760406494141,164800
1981-01-26,5.5625,5.5625,5.5,5.5625,4.581760406494141,896800
1981-01-27,5.578125,5.6875,5.578125,5.6875,4.684723854064941,384800
1981-01-28,5.6875,5.71875,5.65625,5.65625,4.658982276916504,439200
1981-01-29,5.625,5.625,5.5625,5.59375,4.6075005531311035,381600
1981-01-30,5.578125,5.578125,5.34375,5.34375,4.401580333709717,132800
1981-02-02,5.3125,5.3125,5.140625,5.25,4.3243608474731445,310400
1981-02-03,5.25,5.3125,5.15625,5.3125,4.37584114074707,227200
1981-02-04,5.3125,5.375,5.3125,5.34375,4.401580333709717,248800
1981-02-05,5.375,5.53125,5.375,5.5,4.530280113220215,199200
1981-02-06,5.5,5.515625,5.4375,5.46875,4.504539966583252,86400
1981-02-09,5.46875,5.5,5.3125,5.328125,4.38870906829834,112000
1981-02-10,5.328125,5.40625,5.328125,5.359375,4.414449691772461,94400
1981-02-11,5.359375,5.375,5.28125,5.296875,4.362968921661377,160000
1981-02-12,5.296875,5.359375,5.28125,5.3125,4.37584114074707,165600
1981-02-13,5.3125,5.34375,5.296875,5.34375,4.401580333709717,59200
1981-02-17,5.328125,5.328125,5.265625,5.296875,4.362968921661377,76800
1981-02-18,5.28125,5.28125,5.234375,5.25,4.3243608474731445,134400
1981-02-19,5.25,5.265625,5.171875,5.171875,4.260010242462158,278400
1981-02-20,5.171875,5.1875,5.15625,5.171875,4.260010242462158,420000
1981-02-23,5.171875,5.234375,5.15625,5.234375,4.311487674713135,152000
1981-02-24,5.28125,5.40625,5.28125,5.3125,4.37584114074707,233600
